model,dataset,device,fp32_ms,int8_ms,speedup,status
GraphTransformer,ogbn-products,CPU,10.6634,8.8617,1.2033131340487715,
GraphTransformer,ogbn-products,GPU,6.1471,5.8506,1.050678562882439,
GraphTransformer,ogbn-products,NPU,10.757,8.8329,1.2178333276726785,
GraphTransformer,ogbn-proteins,CPU,10.7221,8.7824,1.2208621789032608,
GraphTransformer,ogbn-proteins,GPU,5.9371,5.7112,1.0395538590839053,
GraphTransformer,ogbn-proteins,NPU,10.2596,8.7477,1.172834002080547,
MPNN,,,,,,no_latency_data
SGC,ogbn-arxiv,CPU,81.9622,149.2537,0.5491468553208395,
SGC,ogbn-arxiv,GPU,58.2223,62.0687,0.9380299571281498,
SGC,ogbn-arxiv,NPU,80.1256,152.1548,0.5266057988311904,
SGC,ogbn-products,CPU,75.8844,148.1472,0.5122229782270606,
SGC,ogbn-products,GPU,138.1513,136.9032,1.0091166605309445,
SGC,ogbn-products,NPU,78.3144,147.4907,0.5309785633941666,
SGC,ogbn-proteins,CPU,79.0735,147.2536,0.536988569379628,
SGC,ogbn-proteins,GPU,138.5535,137.6791,1.0063510002607514,
SGC,ogbn-proteins,NPU,77.3923,149.1755,0.5188003391977906,
bert-tiny,ogbn-arxiv,CPU,5.7237,8.317,0.6881928580016833,
bert-tiny,ogbn-arxiv,NPU,5.6519,8.4663,0.6675761548728488,
bert-tiny,ogbn-products,CPU,6.578,8.8366,0.7444039562727746,
bert-tiny,ogbn-products,NPU,6.0734,8.6646,0.7009440712785356,
bert-tiny,ogbn-proteins,CPU,6.199,8.6291,0.7183831454033446,
bert-tiny,ogbn-proteins,NPU,5.9423,8.4884,0.7000494792893832,
efficientnet-b0,ogbn-arxiv,CPU,13.6711,,,
efficientnet-b0,ogbn-arxiv,GPU,3.0572,,,
efficientnet-b0,ogbn-arxiv,NPU,4.0882,,,
efficientnet-b0,ogbn-products,CPU,13.82,,,
efficientnet-b0,ogbn-products,GPU,3.0529,,,
efficientnet-b0,ogbn-products,NPU,4.0163,,,
efficientnet-b0,ogbn-proteins,CPU,14.0089,,,
efficientnet-b0,ogbn-proteins,GPU,3.1378,,,
efficientnet-b0,ogbn-proteins,NPU,3.9865,,,
mobilenetv2,ogbn-arxiv,CPU,8.6475,5.8388,1.4810406247859151,
mobilenetv2,ogbn-arxiv,GPU,2.0448,1.989,1.0280542986425338,
mobilenetv2,ogbn-arxiv,NPU,1.928,5.3175,0.3625763986835919,
mobilenetv2,ogbn-products,CPU,8.2351,5.7946,1.4211679839850897,
mobilenetv2,ogbn-products,GPU,2.0023,2.0402,0.9814233898637388,
mobilenetv2,ogbn-products,NPU,1.8651,5.531,0.3372084613993853,
mobilenetv2,ogbn-proteins,CPU,8.2694,5.8828,1.4056911674712722,
mobilenetv2,ogbn-proteins,GPU,2.0687,1.9868,1.0412220656331792,
mobilenetv2,ogbn-proteins,NPU,1.9155,5.7825,0.3312581063553826,
resnet50,,,,,,no_latency_data
vit-tiny,ogbn-arxiv,CPU,108.4703,,,
vit-tiny,ogbn-arxiv,GPU,6.1319,,,
vit-tiny,ogbn-arxiv,NPU,9.1311,,,
vit-tiny,ogbn-products,CPU,104.543,,,
vit-tiny,ogbn-products,GPU,6.0533,,,
vit-tiny,ogbn-products,NPU,9.1591,,,
vit-tiny,ogbn-proteins,CPU,105.7319,,,
vit-tiny,ogbn-proteins,GPU,6.3222,,,
vit-tiny,ogbn-proteins,NPU,9.105,,,
